Covidence #,Study ID,Title,Reviewer Name,Lippens et al.?,Location,Paired,Subgroup Analysis,Restaurant,Blue Collar,Office Focus,Degree Level,Study ID,Title,Lead author contact details,Document Types,Country in which the study conducted,Notes,Aim of study,Start date,End date,Total applications,Method of resume submission,Signal,Intervention and Comparisons:,Group 1 Treatment,Group 1 Control,Group 1 Condition,Group 2 Treatment,Group 2 Control,Group 2 Condition,Group 3 Treatment,Group 3 Control,Group 3 Condition,Group 4 Treatment,Group 4 Control,Group 4 Condition,Group 5 Treatment,Group 5 Control,Group 5 Condition,Group 6 Treatment,Group 6 Control,Group 6 Condition,Outcome table:,Group 1 # resumes (treat),Group 1 % callbacks (treat),Group 1 # resumes (control),Group 1 % callbacks (control),Group 2 # resumes (treat),Group 2 % callbacks (treat),Group 2 # resumes (control),Group 2 % callbacks (control),Group 3 # resumes (treat),Group 3 % callbacks (treat),Group 3 # resumes (control),Group 3 % callbacks (control),Group 4 # resumes (treat),Group 4 % callbacks (treat),Group 4 # resumes (control),Group 4 % callbacks (control),Group 5 # resumes (treat),Group 5 % callbacks (treat),Group 5 # resumes (control),Group 5 % callbacks (control),Group 6 # resumes (treat),Group 6 % callbacks (treat),Group 6 # resumes (control),Group 6 % callbacks (control),Comments,Callback by names:, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate,Alternative outcome table:,Group 1 Mean (treat),Group 1 SD (treat),Group 1 Mean (control),Group 1 SD (control),Group 2 Mean (treat),Group 2 SD (treat),Group 2 Mean (control),Group 2 SD (control),Group 3 Mean (treat),Group 3 SD (treat),Group 3 Mean (control),Group 3 SD (control),Group 4 Mean (treat),Group 4 SD (treat),Group 4 Mean (control),Group 4 SD (control),Group 5 Mean (treat),Group 5 SD (treat),Group 5 Mean (control),Group 5 SD (control)
192,Yemane 2020,"Cumulative disadvantage? The role of race compared to ethnicity, religion, and non-white phenotype in explaining hiring discrimination in the US labour market",Consensus,Yes,49 US states,No,Yes,Yes,Yes,Yes,,Yemane 2020,"Cumulative disadvantage? The role of race compared to ethnicity, religion, and non-white phenotype in explaining hiring discrimination in the U.S. labour market",ruta.yemane@wzb.eu,Journal Article,United States,,,16-Jun,17-Jun,2107,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,Field Experiments and Job Posting Sources: The Consequences of Job Database Selection for Estimates of Racial Discrimination,Consensus,No,"New York, Los Angeles, Chicago, Washington, Boston, Philadelphia, Seattle, Detroit, Dallas, Atlanta, Phoenix, Denver, Baltimore, Miami, Minneapolis, Portland, Las Vegas, Charlotte, Cincinnati, and St. Louis.",Yes,Yes,Yes,Yes,Yes,High school; College degree,Pedulla 2021,Field Experiments and Job Posting Sources: The Consequences of Job Database Selection for Estimates of Racial Discrimination,dpedulla@fas.harvard.edu,Journal Article,United States,"Two equal résumés were sent to two different job posting websites, not employers.",Does racial discrimination vary by the source of the job posting?,17-Oct,18-Sep,12324,Online,Names,,Black,White,,Women,Men,,Mother,Father,,,,,,,,,,,,6180,0.148,6144,0.162,6214,0.16,6110,0.15,1023,0.154,971,0.171,,,,,,,,,,,,,Table A1,,Ebony Banks,,Tyra Washington,,Terrell Booker,,Darnell Jackson,,Robert Andersen,,Seth McGrath,,Stephanie Walsh,,Allison Becker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Namingit 2021,Sick and tell: A field experiment analyzing the effects of an illness-related employment gap on the callback rate *,Consensus,No,"New York, NY; Los Angeles, CA; Chicago, IL; Houston, TX; Philadelphia, PA; Phoenix, AZ; San Antonio, TX; San Diego, CA; Dallas, TX; San Jose, CA; Jacksonville, FL; Indianapolis, IN; San Francisco, CA; Austin, TX; Columbus, OH.",Yes,Yes,No,No,Yes,High school,Namingit 2021,Sick and tell: A field experiment analyzing the effects of an illness-related employment gap on the callback rate,benschwab@ksu.edu,Journal Article,United States,,Analyze the effects of an illness-related employment gap on the callback rate.,16-Mar,16-Sep,3771,Online,Months since quitting last position; Illness-explanation for long time unemployed.,,Illness-explained gap,Newly unemployed,Male,Unexplained gap,Newly unemployed,Male,Illness-explained gap,Newly unemployed,Female,Unexplained gap,Newly unemployed,Female,,,,,,,,675,0.236,675,0.246,675,0.218,675,0.246,582,0.28,582,0.308,582,0.251,582,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Mobasseri 2019,"Race, Place, and Crime: How Violent Crime Events Affect Employment Discrimination(1)",Consensus,Yes,"Oakland, CA",Yes,Other: Yes,Yes,Yes,No,High school,Mobasseri 2019,"Race, Place, and Crime: How Violent Crime Events Affect Employment Discrimination",sanazm@bu.edu,Journal Article,United States,,,14-Aug,14-Dec,368,,,,,,,,,,,,,,,,,,,,,,,,,55,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Lambert 2020,Immigrant stereotypes and differential screening,Consensus,Yes,"Mountain View, Palo Alto, San Francisco, San Jose and Sunnyvale.",Yes,Yes,No,No,Yes,College degree,Lambert 2020,Immigrant stereotypes and differential screening,jlambertphd@gmail.com,Journal Article,United States,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Ishizuka 2021,The Motherhood Penalty in Context: Assessing Discrimination in a Polarized Labor Market,Consensus,No,"Boston, Chicago, Houston, Los Angeles, New York City, and Washington, D.C.",Yes,Yes,Yes,Yes,Yes,High school; College degree,Ishizuka 2021,The Motherhood Penalty in Context: Assessing Discrimination in a Polarized Labor Market,ISHIZUKA@WUSTL.EDU,Journal Article,United States,Restaurant and Blue collar jobs + High school degree for less-educated mothers; Office focus + College degree for college-educated mothers.,,16-Apr,17-Jul,2210,Online,,,Mothers,Childless Women,,,,,,,,,,,,,,,,,,1105,0.2,1105,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Darolia 2016,Race and gender effects on employer interest in job applicants: new evidence from a resume field experiment,Consensus,Yes,"Atlanta, Boston, Houston, Philadelphia, Chicago, Seattle, and Sacramento",No,Yes,No,No,Yes,High school; Some college; College degree,Darolia 2016,Race and gender effects on employer interest in job applicants: new evidence from a resume field experiment,daroliar@missouri.edu,Journal Article,United States,,,,,8914,,Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Neumark 2019,Is It Harder for Older Workers to Find Jobs? New and Improved Evidence from a Field Experiment,Consensus,Yes,"Sarasota, Miami, New York, Boston, Chicago, Houston, Los Angeles, Pittsburgh, Charlotte, Phoenix, Birmingham, Salt Lake City.",Yes,Yes,No,Yes,Yes,Some college; College degree,Neumark 2019a,Is It Harder for Older Workers to Find Jobs? New and Improved Evidence from a Field Experiment,,Journal Article,United States,,,15-Feb,15-May,40223,Online,Graduation year,,Old,Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Yemane 2021,Latinos in the United States and in Spain: the impact of ethnic group stereotypes on labour market outcomes,Consensus,Yes,,No,Yes,Yes,No,Yes,High school; College degree,Yemane 2021,Latinos in the United States and in Spain: the impact of ethnic group stereotypes on labour market outcomes,ruta.yemane@wzb.eu,Journal Article,Other: United States and Spain,,,,,,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Neumark 2019,Do State Laws Protecting Older Workers from Discrimination Reduce Age Discrimination in Hiring? Evidence from a Field Experiment,Consensus,Yes,All 50 US states,Yes,Yes,No,Yes,No,College degree,Neumark 2019b,Do State Laws Protecting Older Workers from Discrimination Reduce Age Discrimination in Hiring? Evidence from a Field Experiment,dneumark@uci.edu,Journal Article,United States,,,,,14428,Online,,,Old,Young,,,,,,,,,,,,,,,,,,,,,,3592,,3592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Ameri 2018,THE DISABILITY EMPLOYMENT PUZZLE: A FIELD EXPERIMENT ON EMPLOYER HIRING BEHAVIOR,Consensus,Yes,"New Jersey, New York, Pennsylvania.",No,Yes,No,No,Yes,College degree,Ameri 2018,THE DISABILITY EMPLOYMENT PUZZLE: A FIELD EXPERIMENT ON EMPLOYER HIRING BEHAVIOR,kruse@smlr.rutgers.edu,Journal Article,United States,,,,,6016,,,,,No disability,,SCI,,,,No disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Bailey 2013,"Are Gay Men and Lesbians Discriminated Against When Applying for Jobs? A Four-City, Internet-Based Field Experiment",Consensus,No,"Philadelphia, Chicago, Dallas, San Francisco",Yes,Yes,No,No,Yes,College degree,Bailey 2013,"Are Gay Men and Lesbians Discriminated Against When Applying for Jobs? A Four-City, Internet-Based Field Experiment",john.bailey@rutgers.edu,Journal Article,United States,,To examine potential hiring discrimination against gay men and lesbian women.,10-Mar,10-May,4608,Email,Resume - Volunteer experience,,Philly gay,Straight men,,Philly lesbian,Straight women,,Chicago gay,,,Chicago lesbian,,,Dallas Gay,,,Dallas lesbian,,,,192,0.151,1536,0.119,192,0.068,1536,0.124,192,0.224,,,192,0.146,,,192,0.115,,,192,0.135,,,Gay men SF (0.068/192) Lesbian women SF (0.146/192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Jacquemet 2012,Indiscriminate discrimination: A correspondence test for ethnic homophily in the Chicago labor market,Consensus,Yes,Chicago,Yes,No,No,No,Yes,College degree,Jacquemet 2012,Indiscriminate discrimination: A correspondence test for ethnic homophily in the Chicago labor market,Nicolas.Jacquemet@univ-paris1.fr,Journal Article,United States,"1) Only WHITE applicants/names assigned.

2) Also includes PINK-COLLAR jobs (nursing).",,,,,,,,,,,,,,,,,,,,,,,,,,,330,,330,,330,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Wright 2013,Religious affiliation and hiring discrimination in New England: A field experiment,Consensus,Yes,"Hartford, Connecticut",Yes,No,No,Yes,Yes,College degree,Wright 2013,Religious affiliation and hiring discrimination in New England: A field experiment,Bradley.wright@uconn.edu,Journal Article,United States,,,,,,Online,,,Atheist,,,Catholic,,,Evangelical,,,Jewish,,,Muslim,,,,,,,796,,796,,796,,796,,796,,796,,796,,796,,796,,796,,,,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Widner 2011,It's All in the Name: Employment Discrimination Against Arab Americans,Consensus,Yes,"Seattle, Washington and Portland, Oregon",Yes,No,No,No,Yes,Some college; College degree,Widner 2011,It’s All in the Name: Employment Discrimination Against Arab Americans,widnerd@mailbox.sc.edu,Journal Article,United States,,,8-Feb,9-May,,Online,Names,,,,,,,,,,,,,,,,,,,,,265,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Button 2020,Employment discrimination against Indigenous Peoples in the United States: Evidence from a field experiment,Consensus,Yes,"Albuquerque, Anchorage, Billings, Chicago, Honolulu, Houston, Los Angeles, New York, Oklahoma City, Phoenix, and Sioux Falls.",Yes,No,Yes,Yes,No,High school,Button 2020,Employment discrimination against Indigenous Peoples in the United States: Evidence from a field experiment,"pbutton@tulane.edu, bwalker6@tulane.edu",Journal Article,United States,,"Measure discrimination in hiring faced by Indigenous Peoples in the United States (Native Americans, Alaska Natives, and Native Hawaiians).",17-Mar,17-Dec,13516,,"(1) volunteer experience, (2) language, (3) Native Hawaiian first name, (4) Navajo last name",,Native American,White,,Native Hawaiian,White,,Alaska Native,White,,,,,,,,,,,,5205,0.196,6758,0.198,1271,0.213,6758,0.198,282,0.255,6758,0.198,,,,,,,,,,,,,Table 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nunley 2015,Racial Discrimination in the Labor Market for Recent College Graduates: Evidence from a Field Experiment,Consensus,Yes,"Atlanta, GA, Baltimore, MD, Boston, MA, Dallas, TX, Los Angeles, CA, Minneapolis, MN, and Portland, OR",Yes,Yes,No,No,Yes,College degree,Nunley 2015,Racial Discrimination in the Labor Market for Recent College Graduates: Evidence from a Field Experiment,jnunley@uwlax.edu,Journal Article,United States,,"Measure the levels of racial discrimination in the labor
market for recent college graduates.",13-Jan,13-Jul,9400,Online,Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
